name;type;city;district;address;rent_office;rent_retail;rent_warehouse;service_charge;cost_parking_surface;cost_parking_underground;min_space_to_let;min_lease;add_on_factor;building_status;building_class;total_net_space;total_gross_space;completion_date;ground_floors;floor_plate;no_surface_parking;no_underground_parking;parking_ratio;sprinklers;access_control;computer_cabling;switchboard;smoke_detectors;suspended_ceiling;openable_windows;partition_walls;backup_power_supply;telephone_cabling;power_cabling;air_conditioning;raised_floor;carpeting;fibre_optic_connections;BMS;remobile_id;remobile_url;remobile_pic_url.big;lease;Kraków;;ul. Zielińskiego gen. Bohdana 3;13.50 € / m2;;;16.00 zł / m2;;;375 m2;60 months;;under construction;;8 456 m2;;7 2018;5 (ground floor included);2 130 m2;7;148;1 per 62 m2;False;True;True;False;True;True;True;False;False;True;True;True;True;True;False;True;2217;http://www.remobile.pl/en/offices/krakow/big,2217#3a4bc864;http://www.remobile.pl/images/galeria/2217/zrodlowy-1.jpg;
Alexander Plaza;lease;Łódź;;ul. Aleksandrowska 67;9.00 € / m2;;5.00 € / m2;16.50 zł / m2;30.00 € / place;0.00 € / place;200 m2;36 months;10.00 %;existing;;6 613 m2;;2005;6 (ground floor included);1 000 m2;240;0;1 per 22 m2;False;True;True;False;True;True;True;True;False;True;True;True;False;True;False;False;500;http://www.remobile.pl/en/offices/lodz/alexander-plaza,500#3a4bc864;http://www.remobile.pl/images/galeria/500/biuro-alexander_plaza-1org.jpg;
Alfa Plaza;lease;Gdynia;;ul. Stefana Batorego 28;;10.00 zł / m2;;18.00 zł / m2;40.00 € / place;60.00 € / place;80 m2;36 months;0.00 - 10.00 %;existing;;8 500 m2;;2000;8 (ground floor included);1 600 - 1 600 m2;99;62;1 per 53 m2;False;True;False;True;True;True;False;True;False;True;True;True;False;True;True;False;538;http://www.remobile.pl/en/offices/gdynia/alfa-plaza,538#3a4bc864;http://www.remobile.pl/images/galeria/538/zrodlowy-2.jpg;
Alma;lease;Warszawa;mokotow;ul. Marynarska 13;9.00 € / m2;;;16.90 zł / m2;;60.00 € / place;250 m2;36 months;5.00 %;existing;;5 399 m2;;1998;7 (ground floor included);920 - 1 180 m2;0;265;;False;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;247;http://www.remobile.pl/en/offices/warszawa-mokotow/alma,247#3a4bc864;http://www.remobile.pl/images/galeria/247/biuro-alma-1org.jpg;
Alto Wilanów;lease;Warszawa;wilanow;al. Rzeczypospolitej 14;14.50 € / m2;;;16.00 zł / m2;;70.00 € / place;300 m2;60 months;9.50 %;existing;;7 500 m2;;4 2014;3 (ground floor included);2 300 m2;30;129;1 per 70 m2;False;True;True;False;True;True;True;True;False;True;False;True;True;True;True;False;1236;http://www.remobile.pl/en/offices/warszawa-wilanow/alto-wilanow,1236#3a4bc864;http://www.remobile.pl/images/galeria/1236/biuro-alto_wilanow-1org.jpg;
Altus;lease;Katowice;;ul. Uniwersytecka 13;12.90 € / m2;19.90 - 24.90 € / m2;;4.80 € / m2;;60.00 € / place;323 m2;60 months;10.00 %;existing;A;15 220 m2;;2004;29 (ground floor included);1 231 m2;0;564;1 per 50 m2;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;796;http://www.remobile.pl/en/offices/katowice/altus,796#3a4bc864;http://www.remobile.pl/images/galeria/796/biuro-altus-1org.jpg;
Amber Tower;lease;Gdańsk;;ul. Szafarnia 10;65.00 zł / m2;;;25.00 zł / m2;150.00 - 170.00 zł / place;350.00 zł / place;0 m2;12 months;;existing;;2 152 m2;;I 2014;10 (ground floor included);270 m2;26;0;1 per 0 m2;False;True;False;False;True;True;True;False;False;False;True;True;False;True;False;False;1157;http://www.remobile.pl/en/offices/gdansk/amber-tower,1157#3a4bc864;http://www.remobile.pl/images/galeria/1157/biuro-amber_tower-1org.jpg;
AmerEstate;lease;Warszawa;mokotow;ul. Postępu 17 d;35.00 zł / m2;;;19.00 zł / m2;168.00 zł / place;;160 m2;;5.00 %;existing;;1 853 m2;;1999;4 (ground floor included);520 m2;31;;1 per 45 m2;False;True;True;False;True;True;True;True;True;True;True;True;False;True;True;False;1344;http://www.remobile.pl/en/offices/warszawa-mokotow/amerestate,1344#3a4bc864;http://www.remobile.pl/images/galeria/1344/zrodlowy-1.jpg;
Andersia Tower;lease;Poznań;;pl. Andersa Władysława 3;14.50 € / m2;;;23.80 zł / m2;;150.00 € / place;160 m2;60 months;10.00 - 15.00 %;existing;;10 500 m2;;2007;20 (ground floor included);1 200 m2;0;200;1 per 70 m2;True;True;True;True;True;True;False;False;False;True;True;True;True;True;True;True;602;http://www.remobile.pl/en/offices/poznan/andersia-tower,602#3a4bc864;http://www.remobile.pl/images/galeria/602/biuro-andersia_tower-1org.jpg;
Annopol Logistic Park / Annopol Business Park;lease;Warszawa;bialoleka;ul. Annopol 19;10.00 € / m2;;;8.80 zł / m2;40.00 € / place;;;60 months;;existing;;5 115 m2;;5 2014;4 (ground floor included);958 - 998 m2;140;;;False;True;True;False;False;True;True;False;False;True;True;True;True;True;True;True;1560;http://www.remobile.pl/en/offices/warszawa-bialoleka/annopol-logistic-park--annopol-business-park,1560#3a4bc864;http://www.remobile.pl/images/galeria/1560/zrodlowy-1.jpg;
Antares;lease;Warszawa;mokotow;ul. Marynarska 11;12.00 € / m2;;;19.50 zł / m2;;100.00 € / place;184 m2;;3.95 %;existing;;14 536 m2;;2003;13 (ground floor included);780 m2;0;95;1 per 110 m2;False;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;248;http://www.remobile.pl/en/offices/warszawa-mokotow/antares,248#3a4bc864;http://www.remobile.pl/images/galeria/248/biuro-antares-1org.jpg;
